Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rongved, Olav A Norgård; Hicks, Steven A; Thambawita, Vajira; Stensland, Håkon K; Zouganeli, Evi; Johansen, Dag; Riegler, Michael A; Halvorsen, Pål; ",Real-time detection of events in soccer videos using 3D convolutional neural networks,2020 IEEE International Symposium on Multimedia (ISM),,,135-144,2020,IEEE
"Nedrejord, Oda O; Thambawita, Vajira; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Vid2Pix-a framework for generating high-quality synthetic videos,2020 IEEE International Symposium on Multimedia (ISM),,,25-26,2020,IEEE
"Hicks, Steven A; Isaksen, Jonas L; Thambawita, Vajira; Ghouse, Jonas; Ahlberg, Gustav; Linneberg, Allan; Grarup, Niels; Strümke, Inga; Ellervik, Christina; Olesen, Morten Salling; ",Explaining deep neural networks for knowledge discovery in electrocardiogram analysis,Scientific reports,11,1,10949,2021,Nature Publishing Group UK London
"Hicks, Steven A; Jha, Debesh; Thambawita, Vajira; Halvorsen, Pål; Hammer, Hugo L; Riegler, Michael A; ","The EndoTect 2020 challenge: evaluation and comparison of classification, segmentation and inference time for endoscopy",International Conference on Pattern Recognition,,,263-274,2021,Springer International Publishing Cham
"Jha, Debesh; Ali, Sharib; Hicks, Steven; Thambawita, Vajira; Borgli, Hanna; Smedsrud, Pia H; de Lange, Thomas; Pogorelov, Konstantin; Wang, Xiaowei; Harzig, Philipp; ",A comprehensive analysis of classification methods in gastrointestinal endoscopy imaging,Medical image analysis,70,,102007,2021,Elsevier
"Hicks, Steven A; Strümke, Inga; Thambawita, Vajira; Hammou, Malek; Riegler, Michael A; Halvorsen, Pål; Parasa, Sravanthi; ",On evaluation metrics for medical applications of artificial intelligence,Scientific reports,12,1,5979,2022,Nature Publishing Group UK London
"Thambawita, Vajira L; Hicks, Steven; Strümke, Inga; Riegler, Michael A; Halvorsen, Pal; Parasa, Sravanthi; ",Fr615 impact of image resolution on convolutional neural networks performance in gastrointestinal endoscopy,Gastroenterology,160,6,S-377,2021,WB Saunders
"Thambawita, Vajira L; Strümke, Inga; Hicks, Steven; Riegler, Michael A; Halvorsen, Pål; Parasa, Sravanthi; ",ID: 3523524 Data augmentation using generative adversarial networks for creating realistic artificial colon polyp images: validation study by endoscopists,Gastrointestinal Endoscopy,93,6,AB190,2021,Mosby
"Khadga, Rabindra; Jha, Debesh; Ali, Sharib; Hicks, Steven; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; ",Few-shot segmentation of medical images based on meta-learning with implicit gradients,arXiv preprint arXiv:2106.03223,,,,2021,
"Thambawita, Vajira; Hicks, Steven A; Isaksen, Jonas; Stensen, Mette Haug; Haugen, Trine B; Kanters, JØrgen; Parasa, Sravanthi; De Lange, Thomas; Johansen, Håvard D; Johansen, Dag; ",DeepSynthBody: the beginning of the end for data deficiency in medicine,2021 International Conference on Applied Artificial Intelligence (ICAPAI),,,1-8,2021,IEEE
"Thambawita, Vajira; Salehi, Pegah; Sheshkal, Sajad Amouei; Hicks, Steven A; Hammer, Hugo L; Parasa, Sravanthi; Lange, Thomas de; Halvorsen, Pål; Riegler, Michael A; ",SinGAN-Seg: Synthetic training data generation for medical image segmentation,PloS one,17,5,e0267976,2022,"Public Library of Science San Francisco, CA USA"
"Thambawita, Vajira; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Divergentnets: Medical image segmentation by network ensemble,arXiv preprint arXiv:2107.00283,,,,2021,
"Rongved, Olav A Nergård; Hicks, Steven A; Thambawita, Vajira; Stensland, Håkon K; Zouganeli, Evi; Johansen, Dag; Midoglu, Cise; Riegler, Michael A; Halvorsen, Pål; ",Using 3D convolutional neural networks for real-time detection of soccer events,International Journal of Semantic Computing,15,02,161-187,2021,World Scientific Publishing Company
"Gjestang, Henrik L; Hicks, Steven A; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",A self-learning teacher-student framework for gastrointestinal image classification,2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS),,,539-544,2021,IEEE
"Thambawita, V; Haugen, TB; Stensen, MH; Witczak, O; Hammer, HL; Halvorsen, P; Riegler, MA; ",P–029 Identification of spermatozoa by unsupervised learning from video data,Human Reproduction,36,Supplement_1,deab130. 028,2021,Oxford University Press
"Baugerud, Gunn Astrid; Johnson, Miriam S; Klingenberg Røed, Ragnhild; Lamb, Michael E; Powell, Martine; Thambawita, Vajira; Hicks, Steven A; Salehi, Pegah; Hassan, Syed Zohaib; Halvorsen, Pål; ",Multimodal virtual avatars for investigative interviews with children,Proceedings of the 2021 ACM Workshop on Intelligent Cross-Data Analysis and Retrieval,,,2-8,2021,
"Naess, Espen; Thambawita, Vajira; Hicks, Steven A; Riegler, Michael A; Halvorsen, Pål; ",Pyramidal segmentation of medical images using adversarial training,Proceedings of the 2021 ACM Workshop on Intelligent Cross-Data Analysis and Retrieval,,,33-38,2021,
"Thambawita, Vajira; Haugen, Trine B; Stensen, Mette Haug; Witczak, Oliwia; Hammer, Hugo L; Halvorsen, Pal; Riegler, Michael A; ",Identification of spermatozoa by unsupervised learning from video data,HUMAN REPRODUCTION,36,,150-151,2021,"OXFORD UNIV PRESS GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
"Li, Dingquan; Jiang, Tingting; Jiang, Ming; Thambawita, Vajira Lasantha; Wang, Haoliang; ",Reproducibility companion paper: Norm-in-norm loss with faster convergence and better performance for image quality assessment,Proceedings of the 29th ACM International Conference on Multimedia,,,3615-3618,2021,
"Hicks, Steven; Jha, Debesh; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; Singstad, B; Gaur, Sachin; Pettersen, Klas; Goodwin, Morten; Parasa, Sravanthi; ",Medai: Transparency in medical image segmentation,Nordic Machine Intelligence,1,1,1-4,2021,
"Strümke, Inga; Hicks, Steven A; Thambawita, Vajira; Jha, Debesh; Parasa, Sravanthi; Riegler, Michael A; Halvorsen, Pål; ",Artificial intelligence in medicine: gastroenterology,Artificial Intelligence in Medicine,,,1-20,2021,Springer International Publishing Cham
"Thambawita, Vajira; Isaksen, Jonas L; Hicks, Steven A; Ghouse, Jonas; Ahlberg, Gustav; Linneberg, Allan; Grarup, Niels; Ellervik, Christina; Olesen, Morten Salling; Hansen, Torben; ",DeepFake electrocardiograms using generative adversarial networks are the beginning of the end for privacy issues in medicine,Scientific reports,11,1,21896,2021,Nature Publishing Group UK London
"Thambawita, Vajira; Strümke, Inga; Hicks, Steven A; Halvorsen, Pål; Parasa, Sravanthi; Riegler, Michael A; ",Impact of image resolution on deep learning performance in endoscopy image classification: An experimental study using a large dataset of endoscopic images,Diagnostics,11,12,2183,2021,MDPI
"Valand, Joakim Olav; Kadragic, Haris; Hicks, Steven Alexander; Thambawita, Vajira Lasantha; Midoglu, Cise; Kupka, Tomas; Johansen, Dag; Riegler, Michael Alexander; Halvorsen, Pål; ",AI-based video clipping of soccer events,Machine Learning and Knowledge Extraction,3,4,990-1008,2021,MDPI
"Nergård Rongved, Olav Andre; Stige, Markus; Hicks, Steven Alexander; Thambawita, Vajira Lasantha; Midoglu, Cise; Zouganeli, Evi; Johansen, Dag; Riegler, Michael Alexander; Halvorsen, Pål; ",Automated event detection and classification in soccer: The potential of using multiple modalities,Machine Learning and Knowledge Extraction,3,4,1030-1054,2021,MDPI
"Valand, Joakim O; Kadragic, Haris; Hicks, Steven A; Thambawita, Vajira; Midoglu, Cise; Kupka, Tomas; Johansen, Dag; Riegler, Michael A; Halvorsen, Pål; ",Automated clipping of soccer events using machine learning,2021 IEEE International Symposium on Multimedia (ISM),,,210-214,2021,IEEE
"Khadka, Rabindra; Jha, Debesh; Hicks, Steven; Thambawita, Vajira; Riegler, Michael A; Ali, Sharib; Halvorsen, Pål; ",Meta-learning with implicit gradients in a few-shot setting for medical image segmentation,Computers in Biology and Medicine,143,,105227,2022,Pergamon
"Midoglu, Cise; Hicks, Steven A; Thambawita, Vajira; Kupka, Tomas; Halvorsen, Pål; ",Mmsys' 22 grand challenge on ai-based video production for soccer,arXiv preprint arXiv:2202.01031,,,,2022,
"Ali, Sharib; Ghatwary, Noha; Jha, Debesh; Isik-Polat, Ece; Polat, Gorkem; Yang, Chen; Li, Wuyang; Galdran, Adrian; Ballester, Miguel-Ángel González; Thambawita, Vajira; ",Assessing generalisability of deep learning-based polyp detection and segmentation methods through a computer vision challenge,Scientific Reports,14,1,2032,2024,Nature Publishing Group UK London
"Fraire-Zamora, Juan J; Ali, Zoya Enakshi; Makieva, Sofia; Massarotti, Claudia; Kohlhepp, Florian; Liperis, George; Perugini, Michelle; Thambawita, Vajira; Mincheva, Mina; ",# ESHREjc report: on the road to preconception and personalized counselling with machine learning models,Human Reproduction,37,8,1955-1957,2022,Oxford University Press
"Fagereng, Jan Andre; Thambawita, Vajira; Storås, Andrea M; Parasa, Sravanthi; De Lange, Thomas; Halvorsen, Pål; Riegler, Michael A; ",PolypConnect: Image inpainting for generating realistic gastrointestinal tract images with polyps,2022 IEEE 35th International Symposium on Computer-Based Medical Systems (CBMS),,,66-71,2022,IEEE
"Torpmann-Hagen, Birk; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; Glette, Kyrre; ",Segmentation consistency training: out-of-distribution generalization for medical image segmentation,2022 IEEE International Symposium on Multimedia (ISM),,,42-49,2022,IEEE
"Monakhov, Vladimir; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",Grid HTM: Hierarchical temporal memory for anomaly detection in videos,arXiv preprint arXiv:2205.15407,,,,2022,
"Salehi, Pegah; Hassan, Syed Zohaib; Lammerse, Myrthe; Sabet, Saeed Shafiee; Riiser, Ingvild; Røed, Ragnhild Klingenberg; Johnson, Miriam S; Thambawita, Vajira; Hicks, Steven A; Powell, Martine; ",Synthesizing a talking child avatar to train interviewers working with maltreated children,Big Data and Cognitive Computing,6,2,62,2022,MDPI
"Thambawita, Vajira; Hicks, Steven A; Jaouen, Ewan; Halvorsen, Pål; Riegler, Michael A; ",Chapter 4 Smittestopp analytics: Analysis of position data,Smittestopp− A Case Study on Digital Contact Tracing,,,63-79,2022,Springer International Publishing Cham
"Thambawita, V; Hicks, SA; Storås, A; Witczak, O; Andersen, JM; Hammer, HL; Halvorsen, P; Riegler, MA; Haugen, TB; ",P-108 Real-time deep learning based multi object tracking of spermatozoa in fresh samples,Human Reproduction,37,Supplement_1,deac107. 104,2022,Oxford University Press
"Hicks, S; Thambawita, V; Storås, A; Haugen, TB; Hammer, HL; Halvorsen, P; Riegler, M; Stensen, MH; ",P-272 Automatic Tracking of the ICSI procedure using Deep Learning,Human Reproduction,37,Supplement_1,deac107. 261,2022,Oxford University Press
"Sharma, A; Kakulavarapu, R; Thambawita, V; Siddiqui, M; Delbarre, E; Riegler, M; Hammer, H; Stensen, M; ",P-243 Automating tracking of cell division for human embryo development in time lapse videos,Human Reproduction,37,Supplement_1,deac107. 233,2022,Oxford University Press
"Nordmo, Tor-Arne Schmidt; Ovesen, Aril Bernhard; Juliussen, Bjørn Aslak; Hicks, Steven Alexander; Thambawita, Vajira; Johansen, Håvard Dagenborg; Halvorsen, Pål; Riegler, Michael Alexander; Johansen, Dag; ",Njord: a fishing trawler dataset,Proceedings of the 13th ACM Multimedia Systems Conference,,,197-202,2022,
"Lux, Mathias; Riegler, Michael; Hicks, Steven; Dang-Nguyen, Duc-Tien; Jørgensen, Kristine; Thambawita, Vajira; Halvorsen, Pål; ",Emotional Mario Task at MediaEval 2021.,MediaEval,,,,2021,
"Hicks, Steven; Jha, Debesh; Thambawita, Vajira; Hammer, Hugo; de Lange, Thomas; Parasa, Sravanthi; Riegler, Michael; Halvorsen, Pål; ",Medico Multimedia Task at MediaEval 2021: Transparency in Medical Image Segmentation.,MediaEval,,,,2021,
"Rongved, Olav Andre Nergård; Stige, Markus; Hicks, Steven Alexander; Thambawita, Vajira Lasantha; ","Cise Midoglu, Evi Zouganeli, Dag Johansen, Michael Alexander Riegler, and Pål Halvorsen. 2021. Automated Event Detection and Classification in Soccer: The Potential of Using Multiple Modalities",Machine Learning and Knowledge Extraction,3,4,1030-1054,2021,
"Jin, Xin; Liu, Ke; Zou, Dongqing; Li, Zhonglan; Huang, Heng; Thambawita, Vajira; ",Reproducibility companion paper: Focusing on persons: Colorizing old images learning from modern historical movies,Proceedings of the 30th ACM International Conference on Multimedia,,,7364-7367,2022,
"Sharma, A; Kakulavarapu, R; Thambawita, V; Siddiqui, M; Delbarre, E; Riegler, M; Hammer, H; Stensen, M; ",Automating tracking of cell division for human embryo development in time lapse videos,HUMAN REPRODUCTION,37,,I305-I306,2022,"OXFORD UNIV PRESS GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
"Thambawita, V; Hicks, SA; Storas, A; Witczak, O; Andersen, JM; Hammer, HL; Halvorsen, P; Riegler, MA; Haugen, TB; ",Real-time deep learning based multi object tracking of spermatozoa in fresh samples,HUMAN REPRODUCTION,37,,241-241,2022,"OXFORD UNIV PRESS GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
"Hicks, S; Thambawita, V; Storas, A; Haugen, TB; Hammer, HL; Halvorsen, P; Riegler, M; Stensen, MH; ",Automatic Tracking of the ICSI procedure using Deep Learning,HUMAN REPRODUCTION,37,,I320-I320,2022,"OXFORD UNIV PRESS GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
"Thambawita, Vajira; Storås, Andrea M; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Mlc at Hecktor 2022: the effect and importance of training data when analyzing cases of head and neck tumors using machine learning,3D Head and Neck Tumor Segmentation in PET/CT Challenge,,,166-177,2022,Springer Nature Switzerland Cham
"Thambawita, Vajira; Hicks, Steven A; Storås, Andrea M; Nguyen, Thu; Andersen, Jorunn M; Witczak, Oliwia; Haugen, Trine B; Hammer, Hugo L; Halvorsen, Pål; Riegler, Michael A; ","VISEM-Tracking, a human spermatozoa tracking dataset",Scientific data,10,1,260,2023,Nature Publishing Group UK London
"Isaksen, Jonas L; Hicks, Steven A; Thambawita, Vajira; Mæland, Steffen; Graff, Claus; Ghouse, Jonas; Ahlberg, Gustav; Olesen, Morten Salling; Ellervik, Christina; von Holstein-Rathlou, Niels-Henrik; ",Poster Session 1Baseline filtering alleviates generalization issues for neural networks for electrocardiogram analysis,Journal of Electrocardiology,73,,15,2022,Churchill Livingstone
"Eisenmann, Matthias; Reinke, Annika; Weru, Vivienn; Tizabi, Minu Dietlinde; Isensee, Fabian; Adler, Tim J; Godau, Patrick; Cheplygina, Veronika; Kozubek, Michal; Ali, Sharib; ",Biomedical image analysis competitions: The state of current participation practice,arXiv preprint arXiv:2212.08568,,,,2022,
"Thambawita, Vajira; Hicks, Steven; Storås, Andrea M; Andersen, Jorunn M; Witczak, Oliwia; Haugen, Trine B; Hammer, Hugo; Nguyen, Thu; Halvorsen, Pål; Riegler, Michael; ",Medico Multimedia Task at MediaEval 2022: Transparent Tracking of Spermatozoa.,MediaEval,,,,2022,
"Storås, Andrea M; Riegler, Michael A; Haugen, Trine B; Thambawita, Vajira; Hicks, Steven A; Hammer, Hugo L; Kakulavarapu, Radhika; Halvorsen, Pål; Stensen, Mette H; ",Automatic Unsupervised Clustering of Videos of the Intracytoplasmic Sperm Injection (ICSI) Procedure,Symposium of the Norwegian AI Society,,,111-121,2022,Springer International Publishing Cham
"Monakhov, Vladimir; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",GridHTM: Grid-Based Hierarchical Temporal Memory for Anomaly Detection in Videos,Sensors,23,4,2087,2023,MDPI
"Riegler, Michael A; Thambawita, Vajira; Chatterjee, Ayan; Nguyen, Thu; Hicks, Steven A; Telle-Hansen, Vibeke; Pettersen, Svein Arne; Johansen, Dag; Jain, Ramesh; Halvorsen, Pål; ","ScopeSense: An 8.5-month sport, nutrition, and lifestyle lifelogging dataset",International Conference on Multimedia Modeling,,,502-514,2023,Springer International Publishing Cham
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, Ana Maria; Popescu, Adrian; Idrissi-Yaghir, Ahmad; García Seco de Herrera, Alba; Andrei, Alexandra; Stan, Alexandru; Storås, Andrea M; Abacha, Asma Ben; ","Imageclef 2023 highlight: Multimedia retrieval in medical, social media and content recommendation applications",European Conference on Information Retrieval,,,557-567,2023,Springer Nature Switzerland Cham
"Nguyen, Thu; Storås, Andrea M; Thambawita, Vajira; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Multimedia datasets: challenges and future possibilities,International Conference on Multimedia Modeling,,,711-717,2023,Springer Nature Switzerland Cham
"Macháček, Roman; Mozaffari, Leila; Sepasdar, Zahra; Parasa, Sravanthi; Halvorsen, Pål; Riegler, Michael A; Thambawita, Vajira; ",Mask-conditioned latent diffusion for generating gastrointestinal polyp images,Proceedings of the 4th ACM Workshop on Intelligent Cross-Data Analysis and Retrieval,,,1-9,2023,
"Strümke, Inga; Thambawita, Vajira; Hammou, Malek; Halvorsen, Pål; Parasa, Sravanthi; ",On evaluation metrics for medical applications of artificial intelligence.,"Articles, Abstracts, and Reports",,,,2022,
"Storås, Andrea M; Andersen, Ole Emil; Lockhart, Sam; Thielemann, Roman; Gnesin, Filip; Thambawita, Vajira; Hicks, Steven A; Kanters, Jørgen K; Strümke, Inga; Halvorsen, Pål; ",Usefulness of heat map explanations for deep-learning-based electrocardiogram analysis,Diagnostics,13,14,2345,2023,MDPI
"Pishva, Alexander K; Thambawita, Vajira; Torresen, Jim; Hicks, Steven A; ",Repolyp: A framework for generating realistic colon polyps with corresponding segmentation masks using diffusion models,2023 IEEE 36th international symposium on computer-based medical systems (CBMS),,,47-52,2023,IEEE
"Jha, Debesh; Sharma, Vanshali; Banik, Debapriya; Bhattacharya, Debayan; Roy, Kaushiki; Hicks, Steven Alexander; Tomar, Nikhil Kumar; Thambawita, Vajira; Krenzer, Adrian; Ji, Ge-Peng; ",An objective validation of polyp and instrument segmentation methods in colonoscopy through Medico 2020 polyp segmentation and MedAI 2021 transparency challenges.,CoRR,,,,2023,
"Hicks, Steven; Storås, Andrea M; Halvorsen, Pål; de Lange, Thomas; Riegler, Michael; Thambawita, Vajira; ",Overview of ImageCLEFmedical 2023-Medical Visual Question Answering for Gastrointestinal Tract.,CLEF (Working notes),,,1316-1327,2023,
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, Ana-Maria; Yim, Wen-wai; Ben Abacha, Asma; Snider, Neal; Adams, Griffin; Yetisgen, Meliha; Rückert, Johannes; García Seco de Herrera, Alba; ","Overview of the ImageCLEF 2023: multimedia retrieval in medical, social media and internet applications",International Conference of the Cross-Language Evaluation Forum for European Languages,,,370-396,2023,Springer Nature Switzerland Cham
"Al Outa, Amani; Hicks, Steven; Thambawita, Vajira; Andresen, Siri; Enserink, Jorrit M; Halvorsen, Pål; Riegler, Michael A; Knævelsrud, Helene; ","Cellular, a cell autophagy imaging dataset",Scientific data,10,1,806,2023,Nature Publishing Group UK London
"Hicks, Steven; Lommatzsch, Andreas; Hürriyetoglu, Ali; Vuillemot, Romain; Gabriel, Constantin Mihai; Thambawita, Vajira; Larson, Martha; ",Working Notes Proceedings of the MediaEval 2023 Workshop,MediaEval 2023 Workshop collocated with MMM 2024,,,,2024,
"Rajapaksha, Lahiru Theekshana Weerasinghe; Vidanagamachchi, Sugandima Mihirani; Gunawardena, Sampath; Thambawita, Vajira; ",An Open-Access Dataset of Hospitalized Cardiac-Arrest Patients: Machine-Learning-Based Predictions Using Clinical Documentation,BioMedInformatics,4,1,34-49,2023,MDPI
"Boeker, Matthias; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; Hammer, Hugo L; ",Advancing sleep detection by modelling weak label sets: A novel weakly supervised learning approach,arXiv preprint arXiv:2402.17601,,,,2024,
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, Ana Maria; Idrissi-Yaghir, Ahmad; Radzhabov, Ahmedkhan; Herrera, Alba Garcia Seco de; Andrei, Alexandra; Stan, Alexandru; Storås, Andrea M; Abacha, Asma Ben; ","Advancing multimedia retrieval in medical, social media and content recommendation applications with ImageCLEF 2024",European Conference on Information Retrieval,,,44-52,2024,Springer Nature Switzerland Cham
"Gautam, Sushant; Sarkhoosh, Mehdi Houshmand; Held, Jan; Midoglu, Cise; Cioppa, Anthony; Giancola, Silvio; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pal; Shah, Mubarak; ",SoccerNet-Echoes: A Soccer game audio commentary dataset,2024 International Symposium on Multimedia (ISM),,,71-78,2024,IEEE
"Hicks, S; Lommatzsch, A; Hürriyetoglu, A; Vuillemot, R; Constantin, MG; Thambawita, V; Larson, MA; ","MediaEval 2023: Multimedia Benchmark Workshop 2023, Working Notes Proceedings of the MediaEval 2023 Workshop Amsterdam, The Netherlands and Online, 1-2 February 2024",,,,,2024,Sl: CEUR
"Andersen, JM; Witczak, O; Due, EU; Hicks, S; Thambawita, V; Björndahl, L; Riegler, M; Haugen, TB; ",Sperm motility assessed by deep convolutional neural networks,Reproductive BioMedicine Online,48,,104060,2024,Elsevier
"VAAGAN, ROBERT; ","Political Rhetoric, Populism, Leadership and Intercultural Communication1","Bridging Languages and Cultures II–Linguistics, Translation Studies and Intercultural Communication",111,,227,2020,Frank & Timme GmbH
